epoch,RMSE_P,RMSE_T,loss,mean_absolute_error,root_mean_squared_error,val_RMSE_P,val_RMSE_T,val_loss,val_mean_absolute_error,val_root_mean_squared_error
0,1970.407470703125,54.975746154785156,0.0412956103682518,0.12912678718566895,0.1945585012435913,1659.3642578125,25.980199813842773,0.02051691897213459,0.09541547298431396,0.14323727786540985
1,1538.1583251953125,23.887645721435547,0.017545757815241814,0.0875396728515625,0.13246040046215057,1503.5113525390625,22.748857498168945,0.016908593475818634,0.0837201252579689,0.13003304600715637
2,1419.8372802734375,22.195432662963867,0.014938862062990665,0.07867676019668579,0.12222463637590408,1461.213134765625,24.329126358032227,0.016224604099988937,0.0831514522433281,0.12737584114074707
3,1361.518798828125,21.631977081298828,0.013802261091768742,0.07501447200775146,0.11748301982879639,1403.1712646484375,21.326711654663086,0.01481490395963192,0.07647242397069931,0.12171649187803268
4,1344.64306640625,21.1090145111084,0.013416653499007225,0.07351318746805191,0.11583027988672256,1350.5491943359375,20.965410232543945,0.013859518803656101,0.07429323345422745,0.11772646009922028
5,1319.228759765625,20.352510452270508,0.012886195443570614,0.0711415484547615,0.1135173812508583,1317.9862060546875,19.729822158813477,0.013168670237064362,0.0721578449010849,0.11475483328104019
6,1308.789794921875,19.935476303100586,0.012664074078202248,0.0700889378786087,0.1125347688794136,1316.718017578125,19.825504302978516,0.013054613955318928,0.07072021067142487,0.11425679177045822
7,1296.5369873046875,19.857542037963867,0.01252217497676611,0.06960230320692062,0.11190252751111984,1294.1197509765625,18.876665115356445,0.012675841338932514,0.0691043958067894,0.11258704215288162
8,1296.7979736328125,19.507553100585938,0.012485082261264324,0.0690888836979866,0.11173666268587112,1301.4957275390625,18.55348014831543,0.012853214517235756,0.06993112713098526,0.11337202042341232
9,1298.9588623046875,19.306072235107422,0.012509365566074848,0.0690046176314354,0.11184527724981308,1477.158447265625,20.13649559020996,0.01618829369544983,0.07867671549320221,0.12723322212696075
10,1286.8895263671875,18.986743927001953,0.012212752364575863,0.06775182485580444,0.11051131039857864,1329.261474609375,18.029064178466797,0.013380227610468864,0.0710209384560585,0.11567293107509613
11,1283.668212890625,19.16587257385254,0.012191948480904102,0.06791719794273376,0.11041715741157532,1286.3392333984375,17.983732223510742,0.012534675188362598,0.0674859806895256,0.11195836216211319
12,1266.6353759765625,18.717514038085938,0.011894140392541885,0.0665656328201294,0.10906025767326355,1269.220458984375,18.292308807373047,0.012134399265050888,0.06692513078451157,0.11015626043081284
13,1269.9166259765625,18.707651138305664,0.01194915920495987,0.06659422814846039,0.10931220650672913,1298.2899169921875,17.875749588012695,0.01272810623049736,0.06826785951852798,0.11281891167163849
14,1260.9808349609375,18.498689651489258,0.011725639924407005,0.06573138386011124,0.10828499495983124,1255.182373046875,17.82488441467285,0.01196186151355505,0.06633032858371735,0.10937029868364334
15,1261.931884765625,18.235658645629883,0.011707348749041557,0.06531485915184021,0.10820050537586212,1272.950927734375,18.4095458984375,0.012237460352480412,0.06631669402122498,0.11062305420637131
16,1260.260009765625,18.49456214904785,0.011725101619958878,0.06570214033126831,0.10828250646591187,1244.6759033203125,17.456310272216797,0.011727931909263134,0.06529184430837631,0.10829557478427887
17,1249.6268310546875,18.222272872924805,0.011550954543054104,0.0649624690413475,0.10747537016868591,1254.2947998046875,17.66470718383789,0.011899800039827824,0.06469512730836868,0.10908621549606323
18,1245.8609619140625,18.08437156677246,0.011468962766230106,0.06439818441867828,0.10709324479103088,1239.9169921875,17.705076217651367,0.011600423604249954,0.0645395964384079,0.1077052652835846
19,1243.0091552734375,17.999643325805664,0.01139476802200079,0.06406812369823456,0.10674627870321274,1234.4581298828125,18.062082290649414,0.011629195883870125,0.06480401009321213,0.10783874988555908
20,1242.7486572265625,18.215679168701172,0.011367878876626492,0.06431413441896439,0.10662025958299637,1255.3974609375,17.934398651123047,0.01180308684706688,0.06528306007385254,0.10864201188087463
21,1238.92724609375,18.17129898071289,0.011328674852848053,0.06392770260572433,0.10643624514341354,1227.2781982421875,18.619338989257812,0.011479535140097141,0.0648728534579277,0.10714258998632431
