epoch,RMSE_P,RMSE_T,loss,mean_absolute_error,mean_absolute_percentage_error,root_mean_squared_error,val_RMSE_P,val_RMSE_T,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_root_mean_squared_error
0,2124.27783203125,66.81656646728516,0.04545145854353905,0.15306954085826874,89124.3046875,0.21319347620010376,1649.241455078125,42.2908821105957,0.02258862555027008,0.10654682666063309,34083.73046875,0.15029512345790863
1,1517.6011962890625,37.79864501953125,0.01884675957262516,0.09596281498670578,32334.447265625,0.13728350400924683,1486.3128662109375,36.83915710449219,0.018275683745741844,0.09262952953577042,24736.94140625,0.13518758118152618
2,1435.1627197265625,35.431026458740234,0.016797248274087906,0.08887748420238495,29047.04296875,0.12960420548915863,1442.866455078125,35.520660400390625,0.017207767814397812,0.08834195882081985,19706.111328125,0.1311783790588379
3,1402.320556640625,34.36244583129883,0.015998246148228645,0.08583918958902359,27518.84765625,0.12648417055606842,1409.697998046875,34.5105094909668,0.016397444531321526,0.08549363911151886,16775.91015625,0.1280525028705597
4,1375.0634765625,33.469844818115234,0.01536596566438675,0.08314544707536697,28278.19921875,0.12395953387022018,1371.6134033203125,33.39180374145508,0.015517052263021469,0.08276679366827011,21726.642578125,0.12456746399402618
5,1351.9268798828125,32.94697189331055,0.01485566608607769,0.08110348880290985,27480.5390625,0.121883824467659,1365.7359619140625,33.280181884765625,0.015391089022159576,0.0823892205953598,26764.19140625,0.12406083196401596
6,1324.5322265625,32.32157897949219,0.01426093839108944,0.0787435919046402,25806.056640625,0.119419164955616,1333.771728515625,32.69903564453125,0.014733735471963882,0.07944657653570175,19375.01171875,0.12138258665800095
7,1305.18798828125,32.00556945800781,0.01387233566492796,0.07707297801971436,22843.75,0.11778087913990021,1321.7998046875,32.61243438720703,0.014500041492283344,0.07861847430467606,28853.65625,0.12041611224412918
8,1288.0302734375,31.59169578552246,0.013516202569007874,0.07564480602741241,25330.470703125,0.11625920236110687,1313.766357421875,32.077884674072266,0.014281646348536015,0.07899614423513412,27186.189453125,0.11950584501028061
9,1273.456298828125,31.351892471313477,0.013229813426733017,0.07447346299886703,22520.494140625,0.11502093076705933,1293.1004638671875,31.623979568481445,0.013855830766260624,0.07542465627193451,30390.46875,0.11771079152822495
10,1256.9027099609375,30.958541870117188,0.012880557216703892,0.07292009145021439,25563.07421875,0.11349254101514816,1354.6614990234375,31.818992614746094,0.015007918700575829,0.08055510371923447,23681.44140625,0.12250681221485138
11,1254.7213134765625,30.873085021972656,0.012844465672969818,0.07306349277496338,23799.435546875,0.11333342641592026,1278.2891845703125,31.27571678161621,0.013559323735535145,0.0746404305100441,24774.83203125,0.11644450575113297
12,1234.5665283203125,30.51241111755371,0.012441400438547134,0.07131693512201309,22936.19921875,0.1115410253405571,1263.0550537109375,30.936857223510742,0.01325314212590456,0.07168751955032349,26420.6015625,0.11512228846549988
13,1224.52197265625,30.395654678344727,0.012272055260837078,0.07075127959251404,22737.16015625,0.11077930778265,1268.45751953125,30.90880584716797,0.013343646191060543,0.07346557825803757,25554.974609375,0.11551470309495926
14,1218.093505859375,30.231407165527344,0.012132517993450165,0.07027465105056763,22313.73828125,0.11014770716428757,1232.146240234375,30.24211311340332,0.012632278725504875,0.07053246349096298,24682.681640625,0.11239341646432877
15,1206.7257080078125,30.00255012512207,0.011919931508600712,0.06932555139064789,20577.064453125,0.10917843878269196,1235.86767578125,30.97118377685547,0.012782048434019089,0.07194668054580688,27678.287109375,0.11305772513151169
16,1197.4820556640625,29.913991928100586,0.011753021739423275,0.0687679722905159,23570.712890625,0.10841135680675507,1229.8551025390625,30.955053329467773,0.012661302462220192,0.07114465534687042,27715.39453125,0.11252245306968689
17,1192.161376953125,29.74072265625,0.011637958697974682,0.06845993548631668,20043.943359375,0.10787937045097351,1217.835693359375,30.22535514831543,0.012387363240122795,0.06876867264509201,26282.501953125,0.11129853874444962
18,1181.006103515625,29.56789207458496,0.011441596783697605,0.06758654117584229,21687.990234375,0.10696540027856827,1242.3896484375,30.299203872680664,0.01280310470610857,0.07180040329694748,31899.921875,0.11315079778432846
19,1175.9150390625,29.403152465820312,0.01132657565176487,0.0673571452498436,21063.697265625,0.10642638802528381,1196.05126953125,29.8519287109375,0.011970886960625648,0.06801407784223557,26734.013671875,0.10941154509782791
20,1169.6617431640625,29.33392906188965,0.011227338574826717,0.06675612926483154,20947.16796875,0.10595913976430893,1197.6539306640625,30.17407989501953,0.012048435397446156,0.0683540627360344,25080.419921875,0.10976536571979523
21,1167.287109375,29.25874900817871,0.011185937561094761,0.0666797012090683,24126.3828125,0.10576359182596207,1183.7315673828125,29.71691131591797,0.011761539615690708,0.06726036220788956,29113.8515625,0.10845062881708145
22,1161.9627685546875,29.118162155151367,0.011074917390942574,0.06642956286668777,22249.322265625,0.1052374318242073,1196.636962890625,30.163040161132812,0.01197825837880373,0.06911352276802063,26573.427734375,0.1094452366232872
23,1153.261962890625,29.039365768432617,0.01093069463968277,0.06570640206336975,22777.998046875,0.10454995930194855,1172.445068359375,29.57775115966797,0.011535470373928547,0.06694476306438446,21108.51171875,0.10740330815315247
24,1147.9903564453125,28.950878143310547,0.010835250839591026,0.06543281674385071,18519.435546875,0.10409251600503922,1211.216552734375,29.700271606445312,0.0121758496388793,0.06821122765541077,31865.6015625,0.11034423857927322
25,1148.2381591796875,28.98661231994629,0.01083722710609436,0.0656067505478859,22329.705078125,0.1041020005941391,1171.4945068359375,29.781007766723633,0.011578554287552834,0.06682148575782776,27287.1484375,0.10760369151830673
26,1144.8948974609375,28.935123443603516,0.010786334984004498,0.06555962562561035,22323.484375,0.10385727882385254,1164.5103759765625,29.73333168029785,0.01143014058470726,0.06564188748598099,23989.22265625,0.10691183805465698
27,1142.2470703125,28.852882385253906,0.010742389596998692,0.06538998335599899,21880.876953125,0.10364549607038498,1167.148193359375,29.426876068115234,0.011451784521341324,0.0661088228225708,24046.623046875,0.10701301693916321
28,1131.8653564453125,28.601573944091797,0.010531598702073097,0.06442416459321976,19571.115234375,0.1026235818862915,1178.286376953125,29.771081924438477,0.011644846759736538,0.06733804941177368,32782.421875,0.10791128873825073
29,1126.925537109375,28.64760971069336,0.010465540923178196,0.0642540454864502,21025.857421875,0.102301225066185,1178.1693115234375,29.641759872436523,0.011644039303064346,0.06728559732437134,23834.314453125,0.10790754854679108
30,1127.2777099609375,28.573776245117188,0.010463409125804901,0.06450067460536957,21306.54296875,0.1022908091545105,1151.1939697265625,29.099069595336914,0.011154024861752987,0.06409308314323425,27249.642578125,0.1056126207113266
31,1118.133544921875,28.456201553344727,0.010302389971911907,0.0637354627251625,21914.283203125,0.10150069743394852,1156.78955078125,29.329750061035156,0.011243843473494053,0.06591366231441498,24639.98828125,0.10603699088096619
32,1120.970703125,28.429588317871094,0.010338435880839825,0.06396565586328506,19826.14453125,0.10167809575796127,1151.1580810546875,29.429645538330078,0.011180413886904716,0.06543881446123123,34653.10546875,0.10573747754096985
33,1114.8531494140625,28.348621368408203,0.010240855626761913,0.06351494789123535,22637.265625,0.10119711607694626,1152.3026123046875,29.18988609313965,0.011168633587658405,0.06558230519294739,27972.046875,0.10568176209926605
34,1109.759765625,28.263513565063477,0.010157369077205658,0.06327270716428757,20929.13671875,0.10078377276659012,1158.3486328125,29.13401222229004,0.011253886856138706,0.06476330012083054,24930.4296875,0.10608433932065964
35,1110.4949951171875,28.20667839050293,0.010154521092772484,0.06321993470191956,18188.541015625,0.10076964646577835,1137.7799072265625,29.286699295043945,0.01095943246036768,0.06562473624944687,23707.9140625,0.10468730330467224
36,1107.9715576171875,28.218666076660156,0.010124820284545422,0.06336694210767746,20700.298828125,0.10062216967344284,1138.026611328125,28.98545265197754,0.010896787978708744,0.06382537633180618,28386.263671875,0.10438767820596695
37,1106.414794921875,28.16999626159668,0.010100647807121277,0.06325271725654602,19446.078125,0.10050197690725327,1131.2215576171875,28.92547607421875,0.010821949690580368,0.0638735294342041,24174.884765625,0.1040285974740982
38,1096.64306640625,28.042457580566406,0.009927457198500633,0.062465060502290726,18604.333984375,0.09963662922382355,1142.2794189453125,29.260469436645508,0.010983879677951336,0.06515756249427795,26434.29296875,0.10480400174856186
39,1095.1065673828125,28.072010040283203,0.009914536960422993,0.062457770109176636,18187.662109375,0.09957176446914673,1128.048583984375,28.784082412719727,0.010719027370214462,0.06296494603157043,25037.033203125,0.10353272408246994
40,1092.35009765625,27.890134811401367,0.009845674969255924,0.06233023852109909,18910.66796875,0.09922537952661514,1136.824951171875,28.94943618774414,0.010882485657930374,0.06410438567399979,22514.849609375,0.10431915521621704
41,1090.885009765625,27.81511878967285,0.009814111515879631,0.0620197132229805,16980.7890625,0.09906620532274246,1132.429931640625,29.61422348022461,0.010883992537856102,0.0647774338722229,24086.140625,0.10432636737823486
42,1087.7423095703125,27.845735549926758,0.009767603129148483,0.061793431639671326,21172.373046875,0.0988311842083931,1131.0909423828125,28.835304260253906,0.010768219828605652,0.06397401541471481,24035.140625,0.10377003997564316
43,1083.437255859375,27.721675872802734,0.0096925413236022,0.06145797669887543,18891.6875,0.09845070540904999,1125.19482421875,29.338054656982422,0.010739005170762539,0.06430242955684662,23639.40234375,0.10362916439771652
44,1081.4613037109375,27.691028594970703,0.009662891738116741,0.061446867883205414,17804.369140625,0.0983000099658966,1152.33349609375,29.35586166381836,0.011173239909112453,0.06680608540773392,23833.9140625,0.10570355504751205
45,1077.981689453125,27.635066986083984,0.009607772342860699,0.0611560232937336,18252.158203125,0.09801924228668213,1119.4730224609375,28.811161041259766,0.010585752315819263,0.06300759315490723,19683.685546875,0.10288708657026291
46,1079.2032470703125,27.687976837158203,0.009630355052649975,0.06145506724715233,18352.76953125,0.09813437610864639,1118.1495361328125,28.959505081176758,0.0105710094794631,0.06320629268884659,26692.115234375,0.1028154119849205
47,1077.655517578125,27.616117477416992,0.009586160071194172,0.061220020055770874,19572.93359375,0.09790893644094467,1132.7535400390625,28.892295837402344,0.010792173445224762,0.06410571932792664,28395.451171875,0.10388538241386414
48,1071.3223876953125,27.536497116088867,0.009498503990471363,0.060854751616716385,17109.15625,0.09746026992797852,1132.7484130859375,29.176183700561523,0.010834500193595886,0.06354626268148422,28404.76171875,0.10408890247344971
