epoch,RMSE_T,loss,mean_absolute_error,root_mean_squared_error,val_RMSE_T,val_loss,val_mean_absolute_error,val_root_mean_squared_error
0,249.1131134033203,0.2570982575416565,0.29692524671554565,0.4549572765827179,228.4937286376953,0.2107706218957901,0.3320040702819824,0.45909765362739563
1,241.11500549316406,0.23908604681491852,0.34436050057411194,0.4889642596244812,220.69955444335938,0.1967175304889679,0.3203560709953308,0.44352850317955017
2,232.6505126953125,0.22242635488510132,0.33225196599960327,0.47162097692489624,212.83592224121094,0.1830308586359024,0.30914169549942017,0.4278210699558258
3,225.2264862060547,0.2064557820558548,0.3206515312194824,0.4543740451335907,205.48619079589844,0.17067870497703552,0.29866960644721985,0.41313278675079346
4,215.09268188476562,0.1918259710073471,0.30949315428733826,0.43797942996025085,198.21966552734375,0.15888789296150208,0.28855952620506287,0.39860743284225464
5,207.036376953125,0.17862172424793243,0.29895031452178955,0.42263662815093994,191.05357360839844,0.14766979217529297,0.27905577421188354,0.384278267621994
6,202.73155212402344,0.1658182591199875,0.28878575563430786,0.4072078764438629,184.67120361328125,0.138016939163208,0.27049002051353455,0.37150630354881287
7,194.50086975097656,0.1541869193315506,0.2791344225406647,0.39266642928123474,178.05584716796875,0.1283542811870575,0.2616340219974518,0.35826563835144043
8,186.6984405517578,0.14317438006401062,0.2699170708656311,0.37838390469551086,171.90480041503906,0.11968766897916794,0.25330203771591187,0.3459590673446655
9,179.2595977783203,0.13329900801181793,0.2610127031803131,0.3651013672351837,165.88914489746094,0.11150755733251572,0.24518312513828278,0.3339274823665619
10,173.658935546875,0.12405780702829361,0.25258171558380127,0.3522184491157532,160.23178100585938,0.10407465696334839,0.23746639490127563,0.32260602712631226
11,169.0755157470703,0.11543276906013489,0.24452504515647888,0.3397539556026459,154.8269805908203,0.09720957279205322,0.23009632527828217,0.3117845058441162
12,163.1638946533203,0.10736628621816635,0.23669572174549103,0.3276679515838623,149.39532470703125,0.09055180847644806,0.22272948920726776,0.3009182810783386
13,155.65260314941406,0.09983345121145248,0.22914180159568787,0.31596431136131287,144.25657653808594,0.08447645604610443,0.21565373241901398,0.29064834117889404
14,151.3473358154297,0.09301063418388367,0.22194929420948029,0.3049764633178711,139.4099884033203,0.07892820984125137,0.20885096490383148,0.2809416353702545
15,146.164306640625,0.0866403877735138,0.21494841575622559,0.2943474054336548,134.67544555664062,0.0737069696187973,0.202177494764328,0.27149027585983276
