epoch,RMSE_T,loss,mean_absolute_error,root_mean_squared_error,val_RMSE_T,val_loss,val_mean_absolute_error,val_root_mean_squared_error
0,126.27114868164062,0.07046312838792801,0.18309566378593445,0.2402113527059555,89.24140167236328,0.03243742138147354,0.14385922253131866,0.18010391294956207
1,80.146484375,0.026109876111149788,0.12810242176055908,0.1615855097770691,67.22061157226562,0.018369190394878387,0.10787216573953629,0.13553299009799957
2,62.57243347167969,0.016208725050091743,0.09819038957357407,0.127313494682312,51.65311050415039,0.010812968015670776,0.07950682193040848,0.10398542135953903
3,51.85679626464844,0.010958469472825527,0.07579626142978668,0.10468269884586334,42.60725784301758,0.007329239044338465,0.06190003082156181,0.08561097830533981
4,46.896263122558594,0.009191411547362804,0.06581657379865646,0.09587185084819794,41.313568115234375,0.006875339429825544,0.05848444625735283,0.08291766047477722
5,46.3285026550293,0.008816741406917572,0.06374998390674591,0.0938975065946579,41.396583557128906,0.006905911490321159,0.058091793209314346,0.08310181647539139
6,46.258480072021484,0.00877451989799738,0.06394976377487183,0.09367240965366364,41.456031799316406,0.006916045676916838,0.05854133889079094,0.08316276967525482
7,46.12971115112305,0.008589453063905239,0.063250832259655,0.09267929941415787,41.37764358520508,0.006890640128403902,0.05776416137814522,0.08300987631082535
8,45.877723693847656,0.008663320913910866,0.06366728246212006,0.09307695925235748,41.14617156982422,0.006823908071964979,0.05671894922852516,0.08260694891214371
9,45.98835372924805,0.008563291281461716,0.06299036741256714,0.09253805130720139,40.99237823486328,0.006777024362236261,0.05684192106127739,0.08232268691062927
10,45.31459426879883,0.008572801947593689,0.06303460150957108,0.09258942306041718,40.59466552734375,0.0066434950567781925,0.05626688152551651,0.08150763809680939
11,45.14725875854492,0.008336926810443401,0.061271507292985916,0.09130677580833435,40.71551513671875,0.006685798056423664,0.056008122861385345,0.08176673203706741
12,45.34407424926758,0.008334997110068798,0.06150155887007713,0.09129620343446732,40.84075927734375,0.006736407056450844,0.05619890242815018,0.08207561820745468
13,45.146907806396484,0.008260214701294899,0.061434511095285416,0.0908857211470604,40.925010681152344,0.00676400400698185,0.05657648667693138,0.08224356174468994
14,45.09872055053711,0.008287613280117512,0.061781249940395355,0.09103632718324661,40.480186462402344,0.0065911137498915195,0.05614842101931572,0.08118566870689392
15,44.99638748168945,0.008276724256575108,0.06139829009771347,0.09097650647163391,40.53317642211914,0.006630859337747097,0.055728938430547714,0.08143008500337601
16,45.04518127441406,0.008222795091569424,0.061471160501241684,0.09067963063716888,40.4974365234375,0.006602536886930466,0.05580390989780426,0.08125599473714828
17,44.93752670288086,0.008252577856183052,0.06170697882771492,0.09084369987249374,40.83525085449219,0.006723676808178425,0.05630994960665703,0.08199802786111832
18,45.19959259033203,0.008242941461503506,0.06137239187955856,0.09079064428806305,40.74436950683594,0.0066809747368097305,0.056134458631277084,0.0817372277379036
19,44.72395706176758,0.008160254918038845,0.0613214373588562,0.09033413231372833,40.45183563232422,0.00658020656555891,0.05634933337569237,0.08111847192049026
20,44.43780517578125,0.008263613097369671,0.061984896659851074,0.09090441465377808,40.99176025390625,0.006781073287129402,0.05689818784594536,0.08234727382659912
21,43.91407012939453,0.008151118643581867,0.06120745837688446,0.09028354287147522,41.161354064941406,0.006825197488069534,0.05732271075248718,0.08261475712060928
22,44.3096923828125,0.008176680654287338,0.06138987839221954,0.09042499959468842,40.57347106933594,0.006628149189054966,0.05624086782336235,0.08141344785690308
23,44.66261672973633,0.008160601370036602,0.06107934191823006,0.09033604711294174,41.31828308105469,0.006849811412394047,0.0587107352912426,0.08276358991861343
24,45.20146942138672,0.008364143781363964,0.06203606724739075,0.09145569056272507,41.00763702392578,0.006768736056983471,0.056726984679698944,0.08227232843637466
25,44.33225631713867,0.008144387044012547,0.061162225902080536,0.09024626016616821,40.9840087890625,0.006758911069482565,0.05815315991640091,0.08221259713172913
26,44.98575210571289,0.008179155178368092,0.06138100475072861,0.09043867886066437,40.392269134521484,0.0065527912229299545,0.056553345173597336,0.0809493139386177
27,45.04048156738281,0.008252092637121677,0.06156900152564049,0.09084103256464005,41.49001693725586,0.006929735653102398,0.0575421005487442,0.08324503153562546
28,44.968292236328125,0.008170925080776215,0.06110110878944397,0.09039317071437836,40.74496078491211,0.0066597191616892815,0.057299621403217316,0.08160710334777832
29,45.31155776977539,0.008299418725073338,0.06191442906856537,0.09110114723443985,41.12312316894531,0.0068147447891533375,0.056688565760850906,0.08255146443843842
30,45.05912399291992,0.008387078531086445,0.06323143094778061,0.09158099442720413,41.72442626953125,0.0069844601675868034,0.05886361747980118,0.08357308059930801
31,45.18484115600586,0.008314934559166431,0.061491455882787704,0.09118626266717911,40.973365783691406,0.0067390804179012775,0.057852864265441895,0.08209190517663956
32,45.14542770385742,0.008183854632079601,0.061616212129592896,0.09046465903520584,40.341636657714844,0.006549914833158255,0.05567222833633423,0.08093154430389404
33,44.401832580566406,0.008084570057690144,0.06074630096554756,0.0899142399430275,40.85331726074219,0.006723026279360056,0.05701640248298645,0.08199406415224075
34,44.21569061279297,0.008097031153738499,0.061133500188589096,0.0899835079908371,40.93419647216797,0.006736992858350277,0.058038655668497086,0.08207918703556061
