epoch,RMSE_P,RMSE_T,loss,mean_absolute_error,root_mean_squared_error,val_RMSE_P,val_RMSE_T,val_loss,val_mean_absolute_error,val_root_mean_squared_error
0,5046.35986328125,232.1989288330078,0.29091876745224,0.35822299122810364,0.4855089783668518,3984.569091796875,194.5919189453125,0.18683719635009766,0.349608838558197,0.43224668502807617
1,3639.27978515625,177.80404663085938,0.15989471971988678,0.31590983271598816,0.399868369102478,3033.800048828125,153.45404052734375,0.11156009137630463,0.26540055871009827,0.334006130695343
2,2910.704345703125,144.71987915039062,0.10244599729776382,0.24903926253318787,0.32007187604904175,2463.152099609375,131.66238403320312,0.07750242203474045,0.2164233922958374,0.27839258313179016
3,2428.512451171875,124.3210220336914,0.07347318530082703,0.20878566801548004,0.2710593640804291,2122.751220703125,115.69475555419922,0.05889071151614189,0.1841343492269516,0.2426740825176239
4,2131.007080078125,107.97787475585938,0.05571315065026283,0.1806408315896988,0.23603633046150208,1928.1846923828125,101.86389923095703,0.0474148690700531,0.16096872091293335,0.21774955093860626
5,1921.0296630859375,93.57147216796875,0.04424044489860535,0.15943752229213715,0.21033412218093872,1786.352294921875,90.76538848876953,0.03943648561835289,0.14436806738376617,0.19858621060848236
6,1775.9185791015625,83.84249114990234,0.0368109755218029,0.1439533829689026,0.19186186790466309,1692.7767333984375,83.1580581665039,0.03445357456803322,0.13330373167991638,0.18561673164367676
7,1670.6051025390625,76.74442291259766,0.031902484595775604,0.13267916440963745,0.17861266434192657,1628.07177734375,77.93236541748047,0.03119496814906597,0.1254880130290985,0.1766209751367569
8,1617.40380859375,72.00952911376953,0.02867048792541027,0.1250942051410675,0.1693236231803894,1572.2332763671875,74.36302185058594,0.028777552768588066,0.12013763934373856,0.1696394830942154
9,1557.939453125,68.62552642822266,0.02649601548910141,0.11952880769968033,0.1627759486436844,1533.070556640625,71.6647720336914,0.027102075517177582,0.11549939215183258,0.1646270751953125
10,1509.27001953125,66.22595977783203,0.024861792102456093,0.1149657592177391,0.15767623484134674,1503.9366455078125,69.90412902832031,0.02589547634124756,0.11374330520629883,0.16092070937156677
11,1480.1529541015625,64.33667755126953,0.023777086287736893,0.11213294416666031,0.15419819951057434,1484.20947265625,68.16190338134766,0.025015659630298615,0.1105247214436531,0.1581634134054184
12,1443.46484375,62.852699279785156,0.022982511669397354,0.1100236102938652,0.15159983932971954,1465.294189453125,66.73562622070312,0.024138133972883224,0.10965665429830551,0.1553645133972168
13,1426.120849609375,61.67518997192383,0.022292062640190125,0.10841400921344757,0.14930526912212372,1454.58740234375,65.85736846923828,0.023678550496697426,0.10828737914562225,0.1538783609867096
14,1417.5604248046875,61.02797317504883,0.021739035844802856,0.10686386376619339,0.14744164049625397,1436.2747802734375,65.11241149902344,0.023092355579137802,0.1075957715511322,0.15196168422698975
15,1402.8760986328125,59.81713104248047,0.02130308747291565,0.1058746725320816,0.14595577120780945,1424.29736328125,64.05646514892578,0.022599169984459877,0.10584621876478195,0.15033021569252014
16,1390.7100830078125,59.418846130371094,0.020900772884488106,0.1049453541636467,0.1445709764957428,1414.3726806640625,63.34598159790039,0.022211622446775436,0.10503899306058884,0.14903564751148224
17,1376.43212890625,58.754764556884766,0.02057330124080181,0.1041933074593544,0.14343395829200745,1399.137939453125,62.85942840576172,0.02180338092148304,0.10424288362264633,0.14765967428684235
18,1375.8927001953125,58.42554473876953,0.020281927660107613,0.10376033186912537,0.1424146294593811,1398.7044677734375,62.57924270629883,0.021686099469661713,0.10437242686748505,0.14726200699806213
19,1365.821044921875,58.370033264160156,0.020042408257722855,0.10292526334524155,0.14157122373580933,1392.2174072265625,62.45330810546875,0.021524349227547646,0.10436901450157166,0.1467117965221405
20,1363.3695068359375,58.13897705078125,0.019842596724629402,0.10266685485839844,0.14086374640464783,1377.0758056640625,61.98106002807617,0.02115178480744362,0.10316206514835358,0.14543652534484863
21,1342.92919921875,57.74993133544922,0.01960240863263607,0.10232143104076385,0.1400085985660553,1374.323486328125,61.89720916748047,0.021070856600999832,0.10313718020915985,0.14515803754329681
22,1348.8533935546875,56.673194885253906,0.019397445023059845,0.10147525370121002,0.1392747163772583,1364.03857421875,61.56399917602539,0.02082178369164467,0.10249394178390503,0.1442975550889969
23,1332.9056396484375,56.492271423339844,0.01914527639746666,0.10089762508869171,0.1383664757013321,1363.66064453125,61.36091995239258,0.02074848674237728,0.10270270705223083,0.14404335618019104
24,1323.22802734375,55.97322463989258,0.018980974331498146,0.10066113620996475,0.13777145743370056,1361.821533203125,60.96461868286133,0.020617786794900894,0.10235977917909622,0.14358894526958466
25,1319.68017578125,55.88341522216797,0.018784189596772194,0.1002328172326088,0.1370554268360138,1345.4327392578125,60.76390075683594,0.020322443917393684,0.10115380585193634,0.1425568163394928
26,1314.9993896484375,55.9348258972168,0.018627656623721123,0.09975646436214447,0.13648317754268646,1344.795654296875,60.54083251953125,0.020213482901453972,0.10140620917081833,0.1421741247177124
27,1305.9874267578125,55.41861343383789,0.018496623262763023,0.09963533282279968,0.1360022872686386,1338.203857421875,61.12942886352539,0.020228270441293716,0.10152755677700043,0.14222612977027893
28,1320.3837890625,54.997314453125,0.018361996859312057,0.0991651862859726,0.13550645112991333,1335.48779296875,60.16244125366211,0.019960470497608185,0.10060860961675644,0.14128153026103973
29,1315.3753662109375,55.23612594604492,0.018238196149468422,0.0988270565867424,0.13504886627197266,1328.169677734375,60.23019790649414,0.019856950268149376,0.10024003684520721,0.1409146934747696
30,1298.04736328125,54.60892105102539,0.018101340159773827,0.09866929054260254,0.13454122841358185,1336.1181640625,59.73997497558594,0.019866256043314934,0.10034117847681046,0.14094769954681396
31,1300.9471435546875,54.5131721496582,0.017986979335546494,0.0979667454957962,0.1341155469417572,1324.6495361328125,59.83232116699219,0.01967419683933258,0.10009671747684479,0.14026473462581635
32,1304.964111328125,53.74905014038086,0.017866110429167747,0.09778648614883423,0.13366417586803436,1314.80224609375,59.39754104614258,0.019419057294726372,0.09933499246835709,0.13935227692127228
33,1293.6683349609375,54.19371795654297,0.01770876720547676,0.09785114973783493,0.1330742985010147,1321.0390625,59.48678970336914,0.019516674801707268,0.09983041137456894,0.13970209658145905
34,1287.6712646484375,53.772377014160156,0.01764121651649475,0.09716584533452988,0.1328202486038208,1319.8477783203125,59.18873977661133,0.019423041492700577,0.09940230846405029,0.13936656713485718
35,1285.1888427734375,54.180423736572266,0.017492391169071198,0.09696347266435623,0.132258802652359,1311.80029296875,59.35874938964844,0.019321100786328316,0.0996256098151207,0.13900035619735718
36,1279.8167724609375,53.636348724365234,0.0174065250903368,0.09682340174913406,0.13193379342556,1304.58154296875,59.02857208251953,0.019131598994135857,0.0986861139535904,0.1383170187473297
37,1278.9879150390625,53.964683532714844,0.01734590344130993,0.09658241271972656,0.13170385360717773,1301.39892578125,58.66863250732422,0.01900188997387886,0.09826058894395828,0.13784734904766083
38,1267.3211669921875,53.370967864990234,0.017313459888100624,0.09672139585018158,0.13158062100410461,1307.270751953125,58.44952392578125,0.019061775878071785,0.09812122583389282,0.1380643993616104
39,1275.1531982421875,53.87651824951172,0.017217932268977165,0.09637244045734406,0.1312171220779419,1309.336669921875,58.52076721191406,0.019071858376264572,0.0988183245062828,0.13810089230537415
40,1274.6033935546875,53.3787841796875,0.017108121886849403,0.09598200768232346,0.13079801201820374,1296.4383544921875,58.49066162109375,0.018858017399907112,0.09842149913311005,0.1373244971036911
41,1267.06103515625,53.21632385253906,0.017091801390051842,0.09612546861171722,0.1307356059551239,1300.64501953125,58.21394348144531,0.01885995641350746,0.09846960008144379,0.13733156025409698
42,1272.4185791015625,53.58033752441406,0.01705126464366913,0.09590043872594833,0.13058048486709595,1290.7960205078125,58.28687286376953,0.01870564930140972,0.09826964139938354,0.13676860928535461
43,1271.6015625,53.29979705810547,0.01699915900826454,0.09607210755348206,0.13038082420825958,1295.9267578125,58.14381408691406,0.01875956915318966,0.09763507544994354,0.1369655728340149
44,1268.2769775390625,53.19165802001953,0.016967235133051872,0.09564842283725739,0.13025833666324615,1295.431396484375,58.22029113769531,0.01874682866036892,0.09880219399929047,0.1369190514087677
45,1251.39111328125,52.84461212158203,0.01687975600361824,0.09575385600328445,0.12992212176322937,1291.744140625,57.70753860473633,0.018576135858893394,0.0975576788187027,0.13629430532455444
46,1255.2169189453125,52.7242431640625,0.016862032935023308,0.09562727808952332,0.12985388934612274,1283.2625732421875,57.88951110839844,0.0184736680239439,0.09711247682571411,0.13591787219047546
47,1257.0364990234375,52.748817443847656,0.016844099387526512,0.09533035010099411,0.12978482246398926,1279.2803955078125,57.88184356689453,0.018406368792057037,0.0972481220960617,0.13567006587982178
48,1253.0325927734375,52.47323226928711,0.0167358610779047,0.09509741514921188,0.1293671578168869,1293.50341796875,57.62091827392578,0.018577048555016518,0.09799432009458542,0.13629764318466187
49,1256.5657958984375,52.76436996459961,0.016712402924895287,0.09521474689245224,0.12927645444869995,1287.9427490234375,57.77931594848633,0.018504321575164795,0.09751615673303604,0.13603059947490692
50,1251.255615234375,52.90171813964844,0.016630368307232857,0.09497527033090591,0.1289588063955307,1275.5758056640625,57.47437286376953,0.018255455419421196,0.09685119986534119,0.13511274755001068
51,1235.740234375,52.51331329345703,0.016619112342596054,0.09475897252559662,0.12891513109207153,1280.17138671875,57.52783203125,0.01831158623099327,0.09721282124519348,0.13532030582427979
52,1246.95458984375,52.476654052734375,0.01653224788606167,0.09454058855772018,0.12857778370380402,1270.9609375,57.64235305786133,0.01819082908332348,0.097105473279953,0.1348733752965927
53,1249.90771484375,52.432254791259766,0.016531269997358322,0.09454496949911118,0.12857398390769958,1269.9774169921875,57.59817886352539,0.01816249080002308,0.09617345035076141,0.1347682923078537
54,1246.88427734375,52.11104965209961,0.016492005437612534,0.09456583112478256,0.12842120230197906,1275.6629638671875,57.32618713378906,0.01817939803004265,0.09715137630701065,0.1348309963941574
55,1247.0482177734375,52.46254348754883,0.01647362671792507,0.0943617895245552,0.12834963202476501,1281.0010986328125,57.35313415527344,0.018272463232278824,0.09710019081830978,0.1351756751537323
56,1233.095703125,52.1110725402832,0.016451336443424225,0.09471999853849411,0.12826275825500488,1275.04443359375,57.01076889038086,0.01809871196746826,0.09648469090461731,0.13453145325183868
57,1242.37890625,52.586666107177734,0.016426945105195045,0.09424267709255219,0.12816764414310455,1268.0450439453125,57.08932876586914,0.01800370402634144,0.09614165872335434,0.13417787849903107
58,1247.4835205078125,52.21148681640625,0.0164092518389225,0.09399884194135666,0.12809859216213226,1257.6173095703125,57.09619140625,0.017865614965558052,0.09562063962221146,0.13366231322288513
59,1247.9254150390625,52.05254364013672,0.016415376216173172,0.0942457765340805,0.1281225085258484,1263.0645751953125,57.04742431640625,0.017895085737109184,0.09596651792526245,0.13377252221107483
60,1232.486083984375,51.79309844970703,0.016299445182085037,0.09402208030223846,0.12766927480697632,1275.2755126953125,56.753780364990234,0.018035678192973137,0.09645196050405502,0.1342969685792923
61,1242.58154296875,51.96818542480469,0.016302376985549927,0.09388027340173721,0.12768076360225677,1262.866455078125,57.02796936035156,0.01788131520152092,0.09592852741479874,0.13372103869915009
62,1233.240234375,52.255924224853516,0.01632964238524437,0.09415328502655029,0.1277874857187271,1262.1390380859375,57.13030242919922,0.017888139933347702,0.09591814875602722,0.13374654948711395
63,1242.5615234375,51.73979187011719,0.016262609511613846,0.09403584152460098,0.1275249421596527,1261.7247314453125,57.55186080932617,0.017969850450754166,0.09646845608949661,0.13405166566371918
64,1237.5787353515625,51.6910514831543,0.01628972589969635,0.0937797874212265,0.12763121724128723,1258.270751953125,56.790924072265625,0.017765013501048088,0.09590017050504684,0.13328546285629272
65,1231.1751708984375,52.31972122192383,0.01616627909243107,0.09337879717350006,0.12714669108390808,1263.3795166015625,56.90296936035156,0.017857657745480537,0.0962996631860733,0.13363254070281982
66,1245.15771484375,52.00925827026367,0.01619855873286724,0.09366446733474731,0.1272735446691513,1254.021484375,56.96439743041992,0.01772386208176613,0.0957932323217392,0.1331309974193573
67,1231.1328125,51.562225341796875,0.016239799559116364,0.0936887338757515,0.12743547558784485,1255.85595703125,57.01029968261719,0.017754556611180305,0.09562929719686508,0.13324621319770813
68,1224.112548828125,51.34242248535156,0.016071438789367676,0.09322962164878845,0.1267731785774231,1248.58447265625,56.76567840576172,0.01759384758770466,0.0952601358294487,0.13264180719852448
69,1231.1297607421875,51.35390090942383,0.016130268573760986,0.0933937281370163,0.12700499594211578,1247.95654296875,56.81657409667969,0.017570171505212784,0.09526141732931137,0.13255251944065094
70,1232.859619140625,51.342559814453125,0.016072632744908333,0.09340165555477142,0.12677788734436035,1246.0496826171875,56.80320358276367,0.017546355724334717,0.0954059436917305,0.13246266543865204
71,1226.587890625,51.540985107421875,0.016094539314508438,0.09320168942213058,0.1268642544746399,1249.9144287109375,56.73680114746094,0.017575878649950027,0.09546865522861481,0.13257405161857605
72,1235.1685791015625,51.34122085571289,0.016078181564807892,0.09360312670469284,0.12679976224899292,1250.212646484375,56.661136627197266,0.017579322680830956,0.09502977132797241,0.13258704543113708
73,1226.1990966796875,51.13314437866211,0.016073113307356834,0.09328783303499222,0.12677977979183197,1240.1336669921875,56.655181884765625,0.017418643459677696,0.09461114555597305,0.13197970390319824
74,1234.4451904296875,51.62442398071289,0.01603877544403076,0.09301979839801788,0.1266442835330963,1244.3177490234375,56.70797348022461,0.017475321888923645,0.09469723701477051,0.13219425082206726
75,1227.965576171875,51.57319259643555,0.0160148236900568,0.09322661906480789,0.12654969096183777,1250.11962890625,56.73700714111328,0.017572671175003052,0.09510663151741028,0.13256195187568665
76,1226.390869140625,51.79610824584961,0.015985045582056046,0.09296112507581711,0.12643198668956757,1250.603759765625,56.59158706665039,0.017547935247421265,0.09517627209424973,0.13246862590312958
77,1228.541015625,51.271888732910156,0.016005802899599075,0.09314301609992981,0.12651404738426208,1246.3873291015625,56.19881820678711,0.017401227727532387,0.09439440816640854,0.1319137066602707
78,1225.543701171875,51.15761947631836,0.016005512326955795,0.09268312901258469,0.12651288509368896,1248.66162109375,56.25263977050781,0.017444541677832603,0.09513016045093536,0.13207778334617615
79,1230.8751220703125,51.46247863769531,0.015937600284814835,0.09294737130403519,0.1262442171573639,1241.5980224609375,56.4419059753418,0.01736731268465519,0.09478145837783813,0.1317850947380066
80,1220.333251953125,51.51464080810547,0.01589878834784031,0.09251736104488373,0.1260903924703598,1242.0797119140625,56.35804748535156,0.01735590398311615,0.09520238637924194,0.13174180686473846
