epoch,RMSE_T,loss,mean_absolute_error,root_mean_squared_error,val_RMSE_T,val_loss,val_mean_absolute_error,val_root_mean_squared_error
0,153.06532287597656,0.09702708572149277,0.22321563959121704,0.2809639275074005,109.98944091796875,0.0489283911883831,0.18897059559822083,0.22119763493537903
1,94.67926788330078,0.03689238801598549,0.1559564173221588,0.19207392632961273,74.27574157714844,0.022235509008169174,0.11979655921459198,0.14911575615406036
2,70.48910522460938,0.02000066637992859,0.10937247425317764,0.14142371714115143,58.20513916015625,0.013642454519867897,0.08970241993665695,0.11680091917514801
3,57.68620300292969,0.013589778915047646,0.0879625603556633,0.1165752038359642,49.59696960449219,0.00991006474941969,0.07502833753824234,0.0995493084192276
4,51.61614227294922,0.010908779688179493,0.07645616680383682,0.10444510728120804,46.06108093261719,0.008536947891116142,0.06847413629293442,0.0923956036567688
5,49.22566604614258,0.00984162651002407,0.07133138924837112,0.09920497238636017,44.67194366455078,0.008034629747271538,0.06601367145776749,0.08963609486818314
6,48.065731048583984,0.009449427947402,0.06925229728221893,0.0972081646323204,43.72208023071289,0.007691674865782261,0.06333722174167633,0.0877021923661232
7,47.24358367919922,0.009189335629343987,0.06748437136411667,0.0958610251545906,43.29838562011719,0.007545762229710817,0.06268144398927689,0.0868663489818573
8,47.05633544921875,0.009048416279256344,0.06673797965049744,0.09512316435575485,43.016754150390625,0.007455040235072374,0.06167367845773697,0.08634257316589355
9,46.517051696777344,0.008931178599596024,0.06630202382802963,0.09450491517782211,43.17411804199219,0.007523911539465189,0.06132110208272934,0.08674048632383347
10,46.07598114013672,0.008916914463043213,0.0660085380077362,0.09442941844463348,42.82133483886719,0.007394046057015657,0.060754261910915375,0.08598864078521729
11,46.46432113647461,0.008821159601211548,0.0651777908205986,0.09392102807760239,42.40472412109375,0.007251905743032694,0.06064815819263458,0.08515811711549759
12,46.34445571899414,0.008751243352890015,0.06488704681396484,0.09354808181524277,42.42210388183594,0.00725671648979187,0.0610261932015419,0.08518636226654053
